,Use_Case_ID,Department_Code,Agency,Office,Title,Summary,Development_Stage,Techniques,Source_Code,Department,embedding,cluster,keywords
293,DOI-0025-2023,DOI,USGS,,WRA.NWC.EF Economic Valuation of Ecosystem Services in the Delaware River Basin,"The objectives of this project are to:  _x000D_
_x000D_
Create a data and model inventory plan to evaluate existing data and models. _x000D_
_x000D_
Develop a database for the existing fish data. _x000D_
_x000D_
Develop Artificial Intelligence/Machine Learning (AI/ML) models to predict fish abundances and size under alternate future climates and reservoir operations. _x000D_
_x000D_
Develop models for economic valuation of the fishery resource. _x000D_
_x000D_
Evaluate the validity of estimated economic models against alternative approaches. _x000D_
_x000D_
Link models together to allow evaluation of tradeoffs between water use and the fisheries resource. _x000D_
_x000D_
Provide a prototype web application with re-usable components for internal USGS use that promotes understanding of the models and allows assessment of resource tradeoffs. _x000D_
_x000D_
 ",Initiation,"Random forest regression, random forest classification",,Department of Interior,[0.00089815 0.06213262 0.03895296 ... 0.01022484 0.02396327 0.01621565],1,"[('fisheries', 0.4968), ('fishery', 0.486), ('models', 0.4192), ('model', 0.376), ('resource', 0.3723)]"
294,DOI-0026-2023,DOI,USGS,,WRA.NWC.IWAA Model Application for the National IWAAs and NWC,"In support of both the periodic National Water Availability Assessment reports and the routinely updated National Water Census, the Model Application for the National IWAAs and NWC (MAPPNAT) project will have four major objectives related to model application development: 1) Provide initial applications of models for the National IWAAs reports and the National Water Census, 2) Provide periodic long-term projections for the National IWAAs reports and the National Water Census, 3) Provide routine model updates of current or near-current conditions for the National IWAAs reports and the National Water Census, and 4) Provide operational short-term forecasts for the National Water Census. These four objectives will ultimately cover multiple hydrologic sub-disciplines—including water budgets, water use, water quality, aquatic ecosystems, and drought. Objective 1 will require a combination of on-project and off-project modeling activities to provide the needed model applications for National IWAAs and NWC version 1. Objectives 2, 3, and 4 will begin with strategic planning activities before implementation using the available model applications. As new models are developed, the staffing, organization, and approach for this project will be developed in an integrated manner that can accommodate multiple sub-disciplines and differing domain expertise. ",Initiation,"Random forest regression, random forest classification, random survival forests, neural networks, long-short term memory, recurrent neural networks",,Department of Interior,"[-0.01007086  0.08240471  0.0933324  ... -0.00979767  0.01265377
  0.02120965]",1,"[('hydrologic', 0.4379), ('drought', 0.358), ('modeling', 0.3518), ('forecasts', 0.3038), ('models', 0.2904)]"
295,DOI-0027-2023,DOI,USGS,,WRA.WPID.IWP.PUMP Turbidity Forecasting,This project aims to advance the use of national hydrological forecast models for delivering water quality forecasts relevant to water resource managers. ,Initiation,Convolutional Neural Networks,,Department of Interior,"[ 0.00348518  0.05090767 -0.00185075 ... -0.00710857 -0.02944377
 -0.0050475 ]",1,"[('hydrological', 0.5084), ('forecast', 0.4278), ('forecasts', 0.4036), ('models', 0.2894), ('water', 0.245)]"
296,DOI-0028-2023,DOI,USGS,,WRA.WPID.IWP.PUMP ExaSheds stream temperature projections with process-guided deep learning,"This 3-year project will improve PGDL stream temperature models by adding new forms of process guidance and merging techniques developed by USGS and DOE staff in past projects. Model assessments will emphasize robustness to projections in not-previously-seen conditions, such as those of future climates, paving the way for reliable projections into future decades in the Delaware River Basin.",Initiation,Convolutional Neural Networks,,Department of Interior,"[ 0.01752832  0.05629976  0.05451115 ... -0.01737698  0.0302962
  0.0091494 ]",1,"[('pgdl', 0.394), ('temperature', 0.317), ('river', 0.3168), ('models', 0.2862), ('climates', 0.2721)]"
297,DOI-0029-2023,DOI,USGS,,Vegetation and Water Dynamics,"Major activities include tracking vegetation phenology as a basic input for drought monitoring and for capturing the unique phenological signatures associated with irrigated agriculture and invasive species. Drought mapping and monitoring focus on two conterminous US wide operational tools, VegDRI and QuickDRI, to inform drought severity in a timely fashion. A targeted livestock forage assessment tool is tailored to quantify drought effects in terms of livestock forage deficits in kg/ha for specific producer decision makers. High latitude systems have high carbon stocks, particularly the numerous wetlands. Understanding spatiotemporal surface water dynamics will inform of permafrost degradation and probable methane emission hot spots. Vegetation phenology signatures improve land cover class separations and capture unique phenological signatures associated with invasive species like cheatgrass. Understanding remote sensing sensitivity of phenology tracking at various spatial resolutions and varying degrees of noise associated with mixed pixel effects of other vegetation, soils, and water improves accuracy and consistency of estimations of phenology as well as derivative products tailored for specific land manager use. The determination of irrigated and non-irrigated system provides useful geospatial data for water management and can serve to isolate ecological comparisons or contrasts to either irrigated or non-irrigated land management.",Initiation,Convolutional Neural Networks,,Department of Interior,[0.01890224 0.05999904 0.06254137 ... 0.00701048 0.01547009 0.00099945],1,"[('vegetation', 0.4364), ('drought', 0.4314), ('wetlands', 0.3871), ('livestock', 0.3345), ('agriculture', 0.3187)]"
298,DOI-0030-2023,DOI,USGS,,DOMESTIC WELL VULNERABILITY SES INDICATORS NEW HAMPSHIRE,"The goals of this work are to: (1) investigate homeowner-level statistical associations between datasets on private wells (geology and land use, construction, hydraulics, and chemistry) and SES (and SES proxy) data; (2) investigate statewide census block-group level statistical associations between datasets on private wells (geology and land use, construction, hydraulics, and probabilities of arsenic and uranium contamination) and demographic and SES (and SES proxy) data; (3) identify indicators or triggers of vulnerability to private well water availability and quality in New Hampshire; and (4) broadly disseminate information from this study to scientific and general audiences, as well as to targeted community groups. ",Initiation,Convolutional neural networks,,Department of Interior,"[ 0.02970204 -0.00915313  0.06592341 ... -0.01795422 -0.05150266
 -0.0204446 ]",1,"[('census', 0.3683), ('statistical', 0.3257), ('wells', 0.3123), ('homeowner', 0.3047), ('geology', 0.3023)]"
299,DOI-0031-2023,DOI,USGS,,Two-Dimensional Detailed Hydraulic Analysis,"The USGS proposes to conduct analysis of detailed hydrology and develop a two-dimensional hydraulic model to assist in decision-making for the protection of life and property and local floodplain management and regulation. The following objectives are identified in the scope of this effort:_x000D_
Data objectives include:_x000D_
1.Topographic surveys in the study reaches to verify or augment existing topography usedin prior analyses._x000D_
a.Transportation routes_x000D_
b.Critical infrastructure_x000D_
c.Various landforms_x000D_
d.Non-structural flood mitigation recommendations at specific asset locations(USACE, 2019)_x000D_
Interpretive objectives include:_x000D_
1.Hydrologic analysis of the main stem of Joachim Creek (fig. 2) to produce discharge- frequency values for the 10%, 4%, 2%, 1%, and 0.2% regulatory flood flows._x000D_
2.Develop a calibrated two-dimensional hydraulic model inclusive of the following studyreaches for the newly developed regulatory flood flows identified in interpretiveobjective (1) above:_x000D_
a.Main stem 3.5-mile reach of Joachim Creek from a location above Highway Edownstream to cross-section AI (fig. 2). The study reach is aligned with theexisting regulatory FIS effective model and FIRM bounded upstream at a mid- point location between cross-section BC and BB and downstream at cross- section AI (fig. 3a, 3b)._x000D_
3.Two-dimensional model simulations of 10%, 4%, 2%, 1%, and 0.2% regulatory floodflows developed in interpretive objective (1) will produce flood profiles for the mainstem of Joachim Creek._x000D_
4.Development of two-dimensional model-derived flood maps for the main stem ofJoachim Creek, will be disseminated for the newly defined 1% and 0.2% regulatory floodflows in interpretive objective (1). Model-derived maps will illustrate inundationextents, water-surface elevation, depth, and velocity, including a published table ofcomparisons with the summarized list of spatially relevant nonstructural floodmitigation assets defined in the preliminary FMP by USACE (USACE, 2019).",Initiation,Doodler: https://github.com/dbuscombe-usgs/dash_doodler,https://github.com/dbuscombe-usgs/dash_doodler,Department of Interior,"[ 0.01298499  0.07589353  0.06544599 ... -0.02209952  0.03686412
  0.00968292]",1,"[('hydrology', 0.5584), ('hydrologic', 0.5365), ('floodmitigation', 0.4929), ('floodflows', 0.4415), ('floodplain', 0.4358)]"
300,DOI-0032-2023,DOI,USGS,,GEMSC Geospatial Modernization and Machine Learning Integration,"The USGS Director's office laid out a vision for the USGS for the next decade in the blog post “21st Century Science—Preparing for the Future”. A key component of this vision was outlined by stating “Over the next decade, we will take advantage of advances in sensor technologies, integrated modeling, artificial intelligence (AI), machine learning (ML), and high-performance computing to observe, understand, and project change across spatial and temporal scales in real-time and over the long term.” For GEMSC to play a role in this initiative, a multi-year project is proposed to integrate these technologies in GEMSC project workflows and data services. The overarching objective for this project is development of a strategic framework for integrating ERP science with traditional information technology related platforms.",Initiation,"Active learning, transfer learning, deep learing, convolutional neural networks (Fastern-RCNN, YOLOv5)",,Department of Interior,"[-0.01607714  0.0335625   0.05181716 ... -0.01371707  0.00231769
  0.0149949 ]",1,"[('gemsc', 0.4331), ('workflows', 0.4324), ('technologies', 0.3472), ('erp', 0.3217), ('computing', 0.3076)]"
301,DOI-0033-2023,DOI,USGS,,21st Century Prospecting: AI-assisted Surveying of Critical Mineral Potential (Reimbursable),"Based on the mandate to assess critical minerals distributions in the US, MRP has entered into a partnership between USGS and DARPA.  The objective of this partnership is to accelerate advances in science for understanding critical minerals, assessing unknown resources, and increase mineral security for the Nation. ",Initiation,Long short term memory (LSTM) models,,Department of Interior,"[-0.00543047  0.06784587  0.07408641 ...  0.00492043 -0.02794908
 -0.0015668 ]",1,"[('mrp', 0.4954), ('minerals', 0.4372), ('mineral', 0.3937), ('usgs', 0.3155), ('darpa', 0.2943)]"
302,DOI-0034-2023,DOI,USGS,,SWFL Habitat GIS Model,"Objective 1 – Update and maintain a seamless digital library of predicted flycatcher breeding habitat displayed (rendered) as binary or 5-class probability maps. This effort is ongoing. Landsat reimages the same location every 16 days. Currently, the digital library that is housed within ESRI’s AGOL library contains SWFL habitat maps from 2013 – 2022, spanning 57 Landsat scenes (see Hatten, 2016 for details) output by GEE._x000D_
Objective 2 – Update and maintain the SWFL Habitat Viewer so users can leverage and display the satellite model’s range-wide database and produce a habitat map for any stream reach in the flycatcher’s range. The web based (AGOL) application will allow one to query, _x000D_
display, and download flycatcher habitat maps from 2013 to present by leveraging a library of existing habitat maps generated with GEE, create a habitat time series for a given reach, produce a change detection map between two time periods, and produce metadata records based upon the scene’s date and digital footprint. The SWFL Habitat Viewer can also quantify or simulate beetle impacts to flycatcher habitat on a reach-by-reach basis, but simulations are dependent upon the availability of tamarisk maps.   _x000D_
 Objective 3 – Participate on regional workgroups, symposia, and conferences to inform potential and existing users about the SWFL Habitat Viewer. Currently, the RiversEdge West biannual conference and NAU’s biannual Colorado Plateau Research conference are the major outlets for presentations, but other regional conference candidates may be in Colorado, Nevada, New Mexico, or California._x000D_
Objective 4 - Collaborate in efforts to improve and extend the utility of the flycatcher satellite model by exploring cutting-edge modeling techniques (e.g., occupancy modeling, climate-wildlife modeling). For example, the flycatcher satellite model is being used to develop a regional database that contains patch attributes of SWFL habitat across the entire range of flycatchers. Such information is invaluable for exploring the relationships between patch occupancy and neighborhood characteristics (e.g., number of patches within a given radii, age of patches, distance between patches). The SWFL model is also being integrated into a regionwide project that focuses on linking interdisciplinary scientific data and models with artificial intelligence techniques, with a focus on hydrologic and ecological model integration in the Colorado River Basin, to better address drought and climate change.",Initiation,Bagged trees (aka random forest) classification,,Department of Interior,"[-0.01592109  0.04494711  0.0803583  ...  0.00846244  0.01675758
  0.00454839]",1,"[('flycatcher', 0.474), ('habitat', 0.4357), ('flycatchers', 0.4329), ('landsat', 0.414), ('wildlife', 0.4055)]"
303,DOI-0035-2023,DOI,USGS,,Kaguya TC DTM Generation,"The primary goals for FY21 are to develop a processing pipeline for generating Kaguya TC DTMs, generate a test suite of 100 Kaguya TC DTMs using Ames Stereo Pipeline (ASP), and evaluate the resulting products.",Initiation,"extreme gradient boosted classification, stochastic gradient decent (LinearLearner®), multi-layer perceptron",,Department of Interior,"[-4.17566784e-02 -1.19285537e-02  7.69358054e-02 ... -1.62821393e-02
 -4.52467384e-06 -1.46512296e-02]",2,"[('fy21', 0.4981), ('pipeline', 0.3795), ('kaguya', 0.3277), ('dtms', 0.3178), ('tc', 0.2848)]"
304,DOI-0036-2023,DOI,USGS,,AI/ML for aquatic science,"This project aims to develop novel computational frameworks and AI algorithms for individual_x000D_
fish recognition, by leveraging AI, computer vision and deep learning. The main objectives of_x000D_
this project include:_x000D_
(1) Develop baseline AI models by exploiting visual features and pre-trained deep_x000D_
learning models._x000D_
(2) Improve individual fish recognition performance, as well as handling new individuals and_x000D_
exploring dynamic environments._x000D_
(3) Evaluate melanistic markings associated with “blotchy bass syndrome” to assess the_x000D_
capacity for AI detection of diseased fish._x000D_
(4) Evaluate deep learning models for individual recognition and respiration rate (ventilate_x000D_
rate) using video data collected in laboratory settings and natural streams.",Initiation,convolutional neural networks,,Department of Interior,"[ 0.00950304 -0.00933538  0.02570073 ...  0.03037142 -0.01125754
  0.02178455]",0,"[('fish', 0.4446), ('deep_x000d_', 0.3968), ('recognition', 0.369), ('ai', 0.3127), ('detection', 0.2894)]"
305,DOI-0037-2023,DOI,USGS,,TMDL and Data Mining Investigations,"Apply data-mining techniques, include artificial neural network models, the hydrologic investigations.",Operation and Maintenance,"Deep convolutional neural networks; ResNet, MobileNet, UNet, RetinaNet",https://github.com/dbuscombe-usgs/MLMONDAYS,Department of Interior,"[-0.01735847  0.03885773  0.03648436 ... -0.03269705  0.0154017
  0.00427965]",1,"[('hydrologic', 0.6242), ('mining', 0.2942), ('models', 0.2584), ('data', 0.2556), ('techniques', 0.2247)]"
306,DOJ-0000-2023,DOJ,Drug Enforcement Administration,,Drug Signature Program Algorithms,"DEA's Special Testing and Research 
Laboratory utilizes AI/ML techniques and 
has developed a robust statistical 
methodology including multi-variate 
statistical analysis tools to automatically 
classify the geographical region of origin 
of samples selected for DEA's Heroin and 
Cocaine signature programs. The system 
provides for detection of anomalies and 
low confidence results.",Operation and Maintenance,,,Department of Justice,"[-0.03119041 -0.03685653  0.05144947 ...  0.00725638 -0.04217521
  0.02953334]",4,"[('dea', 0.5131), ('heroin', 0.3605), ('statistical', 0.3267), ('detection', 0.3185), ('methodology', 0.3098)]"
307,DOJ-0001-2023,DOJ,Federal Bureau of Investigation,,Complaint Lead Value Probability,"Threat Intake Processing System (TIPS) 
database uses artificial intelligence (AI) 
algorithms to accurately identify, 
prioritize, and process actionable tips 
in a timely manner. The AI used in this 
case helps to triage immediate threats 
in order to help FBI field offices and 
law enforcement respond to the most 
serious threats first.  Based on the 
algorithm score, highest priority tips 
are first in the queue for human 
review.",Operation and Maintenance,,,Department of Justice,"[-0.03915878  0.00091896  0.04730641 ...  0.00280937 -0.0126727
  0.0137883 ]",3,"[('ai', 0.5008), ('prioritize', 0.3878), ('intelligence', 0.3578), ('processing', 0.3542), ('priority', 0.3526)]"
308,DOJ-0002-2023,DOJ,Justice Management Division,,Intelligent Records Consolidation Tool,"The Office of Records Management Policy 
uses an AI and Natural Language Processing 
(NLP) tool to assess the similarity of records 
schedules across all Department records 
schedules. The tool provides clusters of 
similar items to significantly reduce the time 
that the Records Manager spends manually 
reviewing schedules for possible 
consolidation. An AI powered dashboard 
provides recommendations for schedule 
consolidation and review, while also 
providing the Records Manager with the 
ability to review by cluster or by individual 
record. The solution's technical approach 
has applicability with other domains that 
require text similarity analysis.",Operation and Maintenance,,,Department of Justice,"[-0.01667713  0.04190991  0.02816979 ...  0.01218222  0.00091303
 -0.01239292]",3,"[('nlp', 0.3785), ('records', 0.3498), ('similarity', 0.3313), ('schedules', 0.3287), ('department', 0.3045)]"
309,DOJ-0003-2023,DOJ,Tax Division,,Privileged Material Identification,"The application scans documents and 
looks for attorney/client privileged 
information. It does this based on 
keyword input by the system 
operator.",Operation and Maintenance,,,Department of Justice,"[-0.04606089  0.0901964   0.05435481 ... -0.01518084 -0.01124369
 -0.01685937]",3,"[('attorney', 0.4469), ('application', 0.3862), ('documents', 0.3818), ('privileged', 0.3514), ('client', 0.2745)]"
310,DOL-0000-2023,DOL,,,Form Recognizer for Benefits Forms,Custom machine learning model to extract data from complex forms to tag data entries to field headers. The input is a document or scanned image of the form and the output is a JSON response with key/value pairs extracted by running the form against the custom trained model.,Operation and Maintenance,Classification machine learning model involving computer vision,,Department of Labor,"[ 0.00356689  0.04869212 -0.00497169 ... -0.00647502 -0.00561074
 -0.01037692]",3,"[('json', 0.4022), ('model', 0.3926), ('data', 0.3875), ('custom', 0.3593), ('forms', 0.3586)]"
311,DOL-0001-2023,DOL,,,Language Translation,Language translation of published documents and website using natural language processing models.,Implementation,Cloud based commercial-off-the-shelf pre-trained NLP models,,Department of Labor,"[-0.03240228  0.01069624  0.00519714 ...  0.01112014  0.00985424
  0.01990592]",3,"[('translation', 0.4195), ('documents', 0.3425), ('language', 0.315), ('processing', 0.2586), ('models', 0.2238)]"
312,DOL-0002-2023,DOL,,,Audio Transcription,Transcription of speech to text for records keeping using natural language processing models.,Operation and Maintenance,Cloud based commercial-off-the-shelf pre-trained NLP models,,Department of Labor,"[-0.00306305  0.03876233  0.03610407 ...  0.01284425  0.01074181
  0.01367798]",3,"[('transcription', 0.5594), ('speech', 0.4206), ('text', 0.4065), ('records', 0.3454), ('language', 0.2809)]"
313,DOL-0003-2023,DOL,,,Text to Speech Conversion,Text to speech (Neural) for more realistic human sounding applications using natural language processing models.,Operation and Maintenance,Cloud based commercial-off-the-shelf pre-trained NLP models,,Department of Labor,"[-0.04308431  0.01421924  0.01101992 ...  0.01484726 -0.00494119
  0.0151672 ]",3,"[('speech', 0.4438), ('neural', 0.3937), ('sounding', 0.385), ('text', 0.3838), ('models', 0.3153)]"
314,DOL-0004-2023,DOL,,,Claims Document Processing,To identify if physician’s note contains causal language by training custom natural language processing models.,Implementation,Natural language processing for (a) document classification and (b) sentence-level causal passage detection,,Department of Labor,"[-0.02407922  0.01738313  0.01330726 ... -0.0028143  -0.00559523
 -0.00204249]",4,"[('physician', 0.4081), ('causal', 0.4012), ('language', 0.2883), ('processing', 0.2612), ('contains', 0.2384)]"
315,DOL-0005-2023,DOL,,,Website Chatbot Assistant,"The chatbot helps the end user with basic information about the program, information on who to contact, or seeking petition case status.",Implementation,Cloud based commercial-off-the-shelf pre-trained chatbot,,Department of Labor,"[ 0.00370913 -0.01635665  0.03397805 ... -0.00033386 -0.00511069
  0.03869655]",3,"[('chatbot', 0.7071), ('program', 0.2678), ('petition', 0.2612), ('contact', 0.2371), ('helps', 0.2229)]"
316,DOL-0006-2023,DOL,,,Data Ingestion of Payroll Forms,Custom machine learning model to extract data from complex forms to tag data entries to field headers. The input is a document or scanned image of the form and the output is a JSON response with key/value pairs extracted by running the form against the custom trained model.,Initiation,Classification machine learning model involving computer vision,,Department of Labor,"[ 0.00356689  0.04869212 -0.00497169 ... -0.00647502 -0.00561074
 -0.01037692]",3,"[('json', 0.4022), ('model', 0.3926), ('data', 0.3875), ('custom', 0.3593), ('forms', 0.3586)]"
317,DOL-0007-2023,DOL,,,Hololens,AI used by Inspectors to visually inspect high and unsafe areas from a safe location.,Operation and Maintenance,,,Department of Labor,"[-0.02881355  0.03751677  0.01773033 ... -0.00875955 -0.03630564
 -0.00529164]",0,"[('inspectors', 0.5646), ('ai', 0.5514), ('inspect', 0.4642), ('unsafe', 0.3513), ('visually', 0.3429)]"
318,DOL-0008-2023,DOL,,,DOL Intranet Website Chatbot Assistant,"Conversational chatbot on DOL intranet websites to help answer common procurement questions, as well as specific contract questions.",Initiation,Cloud based commercial-off-the-shelf pre-trained NLP models,,Department of Labor,"[-0.04281991 -0.03790526  0.03733505 ... -0.03157867  0.01037914
  0.02428815]",3,"[('chatbot', 0.6066), ('procurement', 0.4254), ('conversational', 0.4088), ('dol', 0.3402), ('contract', 0.335)]"
319,DOL-0009-2023,DOL,,,Official Document Validation,AI detection of mismatched addresses and garbled text in official letters sent to benefits recipients.,Implementation,Computer Vision,,Department of Labor,"[ 0.00560204  0.02160578  0.03650078 ...  0.00484708 -0.01208669
  0.02614284]",3,"[('recipients', 0.4509), ('addresses', 0.374), ('text', 0.3512), ('letters', 0.3246), ('ai', 0.3104)]"
320,DOL-0010-2023,DOL,,,Electronic Records Management,"Meeting NARA metadata standards for (permanent) federal documents by using AI to identify data within the document, and also using NLP to classify and summarize documents.",Initiation,Custom text classification machine learning model,,Department of Labor,"[-0.05650252  0.04434761  0.04999278 ... -0.00629042 -0.00851861
 -0.01833408]",3,"[('metadata', 0.5564), ('nara', 0.4797), ('documents', 0.4693), ('document', 0.4472), ('nlp', 0.4399)]"
321,DOL-0011-2023,DOL,,,Call Recording Analysis,Automatic analysis of recorded calls made to Benefits Advisors in the DOL Interactive Voice Repsonse (IVR) center.,Initiation,Cloud based commercial-off-the-shelf pre-trained NLP models,,Department of Labor,"[-0.00831865  0.02662772  0.05400741 ... -0.0151065  -0.01485137
  0.00649579]",3,"[('calls', 0.4853), ('voice', 0.4738), ('interactive', 0.3625), ('dol', 0.3335), ('ivr', 0.3328)]"
322,DOL-0012-2023,DOL,,,Automatic Document Processing,Automatic processing of continuation of benefits form to extract pre-defined selection boxes.,Implementation,Cloud based commercial-off-the-shelf pre-trained NLP models,,Department of Labor,"[-0.01393277  0.01878926  0.05990649 ... -0.03589059 -0.01708653
  0.00981661]",3,"[('selection', 0.5486), ('benefits', 0.413), ('form', 0.3427), ('boxes', 0.3423), ('extract', 0.25)]"
323,DOL-0013-2023,DOL,,,Automatic Data Processing Workflow with Form Recognizer,Automatic processing of current complex worflow to extract required data.,Initiation,Classification machine learning model involving computer vision,,Department of Labor,"[-2.36370154e-02  4.49481942e-02  1.96749754e-02 ... -1.85661465e-02
  7.97077373e-05  2.91811675e-02]",3,"[('processing', 0.4617), ('extract', 0.412), ('data', 0.3583), ('complex', 0.2794), ('worflow', 0.2408)]"
324,DOL-0014-2023,DOL,,,Case Recording summarization,Using an open source large language model to summarize publicly available case recording documents which are void of personal identifiable information (PII) or any other sensitive information. This is not hosted in the DOL technical environment and is reviewed by human note takers.,Development and Acquisition,Large language summarization model,,Department of Labor,"[ 0.0083791   0.01493483  0.02998101 ... -0.00372675 -0.00711249
 -0.01564469]",3,"[('documents', 0.434), ('summarize', 0.3403), ('pii', 0.3383), ('case', 0.2955), ('dol', 0.2909)]"
325,DOL-0015-2023,DOL,,,OEWS Occupation Autocoder,The input is state submitted response files that include occupation title and sometimes job description of the surveyed units. The autocoder reads the job title and assigns up to two 6-digit Standard Occupational Classification (SOC) codes along with their probabilities as recommendations for human coders. Codes above a certain threshold are appended to the submitted response file and sent back to states to assist them with their SOC code assignment.,Operation and Maintenance,"Natural Langauge Processing, Logistic Regression, Classification",,Department of Labor,"[-0.01595182  0.00136872  0.02419511 ... -0.00484554  0.00808677
  0.00650203]",3,"[('autocoder', 0.5846), ('coders', 0.4509), ('code', 0.4378), ('codes', 0.3873), ('soc', 0.3845)]"
326,DOL-0016-2023,DOL,,,Scanner Data Product Classification,"BLS receives bulk data from some corporations related to the cost of goods they sell and services they provide. Consumer Price Index (CPI) staff have hand-coded a segment of the items in these data into Entry Level Item (ELI) codes. To accept and make use of these bulk data transfers at scale, BLS has begun to use machine learning to label data with ELI codes. The machine learning model takes as input word frequency counts from item descriptions. Logistic regression is then used to estimate the probability of each item being classified in each ELI category based on the word frequency categorizations. The highest probability category is selected for inclusion in the data. Any selected classifications that do not meet a certain probability threshold are flagged for human review.",Operation and Maintenance,"Natural Langauge Processing, Logistic Regression, Classification",,Department of Labor,"[-0.01859357 -0.01724468  0.06284256 ...  0.02098719 -0.02363208
  0.02917313]",3,"[('classifications', 0.4391), ('classified', 0.4145), ('categorizations', 0.3947), ('logistic', 0.3835), ('bls', 0.3731)]"
327,DOL-0017-2023,DOL,,,Expenditure Classification Autocoder,Custom machine learning model to assign a reported expense description from Consumer Expenditure Diary Survey respondents to expense classification categories known as item codes.,Development and Acquisition,"Natural Language Processing, Random Forest, Classification",,Department of Labor,"[-0.02750276 -0.0109623  -0.01546121 ...  0.00710003 -0.00459592
 -0.04775392]",3,"[('expense', 0.5059), ('expenditure', 0.4476), ('classification', 0.3819), ('categories', 0.3356), ('custom', 0.3318)]"
328,DOS-0000-2023,DOS,A,,Federal Procurement Data System (FPDS) Auto-Populate Bot,"A/LM collaborated with A/OPE to develop a bot to automate the data entry in the Federal Procurement Data System (FPDS), reducing the burden on post’s procurement staff and driving improved compliance on DATA Act reporting. This bot is now used to update ~300 FPDS awards per week.  A/LM also partnered with WHA to develop a bot to automate closeout reminders for federal assistance grants nearing the end of the period of performance and begin developing bots to automate receiving report validation and customer service inbox monitoring.",,,,Department of State,"[-0.02585073 -0.00254015  0.06501681 ...  0.00253493  0.02174191
  0.04398524]",3,"[('fpds', 0.4241), ('automate', 0.4073), ('procurement', 0.3595), ('bot', 0.3537), ('bots', 0.352)]"
329,DOS-0001-2023,DOS,A,,Product Service Code Automation ML Model,"A/LM developed a machine learning model to scan unstructured, user entered procurement data such as Requisition Title and Line Descriptions to automatically detect the commodity and services types being purchased for enhanced procurement categorization.",,,,Department of State,"[-0.06278402 -0.0109741   0.01959023 ...  0.01465993 -0.01339758
 -0.01457656]",3,"[('procurement', 0.5443), ('categorization', 0.4417), ('learning', 0.3168), ('commodity', 0.3061), ('unstructured', 0.3043)]"
330,DOS-0002-2023,DOS,A,,Tailored Integration Logistics Management System (ILMS) User Analytics,A/LM plans to use available ILMS transactional data and planned transactions to develop tailored user experiences and analytics to meet the specifics needs of the user at that moment. By mining real system actions and clicks we can extract more meaningful information about our users to simplify their interactions with the system and reduce time to complete their daily actions.,,,,Department of State,"[-0.03745017  0.01744749  0.04137327 ... -0.00492969 -0.02222233
  0.02078988]",3,"[('ilms', 0.5079), ('analytics', 0.4639), ('transactional', 0.4052), ('actions', 0.4042), ('transactions', 0.3877)]"
331,DOS-0003-2023,DOS,A,,Supply Chain Fraud and Risk Models,"A/LM plans to expand current risk analytics through development of AI/ML models for detecting anomalous activity within the Integrated Logistics Management System (ILMS) that could be potential fraud or malfeasance. The models will expand upon existing risk models and focus on key supply chain functions such as: Asset Management, Procure-to-Pay, and Fleet Management.",,,,Department of State,"[-0.02515228  0.00366368  0.04266999 ...  0.01363505 -0.00577169
  0.01404031]",3,"[('logistics', 0.5141), ('ilms', 0.4312), ('risk', 0.3804), ('lm', 0.3453), ('management', 0.3221)]"
332,DOS-0004-2023,DOS,A,,Tailored Integration Logistics Management System (ILMS) Automated User Support Bot,ILMS developed and deployed an automated support desk assistant using ServiceNow Virtual Agent to simplify support desk interactions for ILMS customers and to deflect easily resolved issues from higher cost support desk agents.,,,,Department of State,"[-0.06131512 -0.01225109  0.01450568 ... -0.00018285 -0.00288831
  0.00800437]",3,"[('ilms', 0.521), ('servicenow', 0.4357), ('assistant', 0.4238), ('agent', 0.3883), ('automated', 0.3769)]"
333,DOS-0005-2023,DOS,A,,Within Grade Increase Automation,"A Natural Language Processing (NLP) model is used in coordination with Intelligent Character Recognition (ICR) to identify and extract values from the JF-62 form for within grade increase payroll actions. Robotic Process Automation (RPA) is then used to validate the data against existing reports, then create a formatted file for approval and processing.",,,,Department of State,"[-0.02894374  0.058154    0.04131013 ... -0.01916257  0.01184002
  0.0239199 ]",3,"[('nlp', 0.4936), ('automation', 0.4608), ('rpa', 0.4247), ('processing', 0.4112), ('robotic', 0.3935)]"
334,DOS-0006-2023,DOS,A,,Verified Imagery Pilot Project,"The Bureau of Conflict and Stabilization Operations ran a pilot project to test how the use of a technology service, Sealr, could verify the delivery of foreign assistance to conflict-affected areas where neither U.S. Department of State nor our implementing partner could go.  Sealr uses blockchain encryption to secure photographs taken on smartphones from digital tampering.  It also uses artificial intelligence to detect spoofs, like taking a picture of a picture of something.  Sealr also has some image recognition capabilities.  The pilot demonstrated technology like Sealr can be used as a way to strengthen remote monitoring of foreign assistance to dangerous or otherwise inaccessible areas.",,,,Department of State,"[-0.01312063  0.03967478  0.03000904 ... -0.00844753 -0.03546765
 -0.01076411]",0,"[('sealr', 0.5179), ('tampering', 0.3523), ('encryption', 0.3511), ('technology', 0.3414), ('monitoring', 0.3331)]"
